horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
アオイモン,2018100906,5,454,56.0,4,牡,1600,ダ,稍重,,10,1,1,0,5,7,15.0,8,松本剛志,2,5,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
アイファーパープル,2017103937,4,465,56.0,5,牡,1600,ダ,稍重,,10,1,1,0,4,7,15.0,8,岡部誠,3,4,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ハンデンミラクル,2018102314,2,430,55.0,4,牡,1600,ダ,稍重,,10,1,1,0,2,7,15.0,8,妹尾将充,4,2,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
エスジースミチャン,2018106070,7,453,51.0,4,牝,1600,ダ,稍重,,10,1,1,1,7,7,15.0,8,田中洸多,5,7,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
チュウワエンペラー,2016103803,3,505,56.0,6,牡,1600,ダ,稍重,,10,1,1,0,3,7,15.0,8,森島貴之,6,3,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
マックスマキ,2018105879,1,525,54.0,4,牝,1600,ダ,稍重,,10,1,1,1,1,7,15.0,8,岩本怜,7,1,202247012502,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
プレリュードノート,2018105543,9,468,56.0,4,セ,1600,ダ,良,,10,1,0,2,9,10,15.0,8,松本剛志,1,7,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ディザネイション,2018105451,4,497,56.0,4,牡,1600,ダ,良,,10,1,0,0,4,10,15.0,8,馬渕繁治,2,3,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
モア,2018103514,8,468,54.0,4,牝,1600,ダ,良,,10,1,0,1,8,10,15.0,8,大原浩司,3,6,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
スピリットノア,2018102373,7,546,56.0,4,牡,1600,ダ,良,,10,1,0,0,7,10,15.0,8,向山牧,4,5,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
キョウワグロリア,2018101575,10,481,56.0,4,牡,1600,ダ,良,,10,1,0,0,10,10,15.0,8,青柳正義,5,8,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
サンマルジョオー,2017100613,1,439,54.0,5,牝,1600,ダ,良,,10,1,0,1,1,10,15.0,8,森島貴之,6,1,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
サンシエ,2017101953,2,483,50.0,5,牝,1600,ダ,良,,10,1,0,1,2,10,15.0,8,深澤杏花,7,1,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
スギノアルテミス,2015102659,6,449,51.0,7,牝,1600,ダ,良,,10,1,0,1,6,10,15.0,8,田中洸多,8,5,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
プエンテデグロリア,2017103530,5,432,53.0,5,牝,1600,ダ,良,,10,1,0,1,5,10,15.0,8,妹尾将充,9,4,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ゴールドタイタン,2018100778,3,423,56.0,4,牡,1600,ダ,良,,10,1,0,0,3,10,15.0,8,加藤利征,10,2,202247012508,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
キョウワニケ,2013101399,5,465,54.0,9,牝,1600,ダ,良,,10,1,0,1,5,9,15.0,8,向山牧,1,4,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
イエローレンギョウ,2018106767,9,428,54.0,4,牝,1600,ダ,良,,10,1,0,1,9,9,15.0,8,大原浩司,2,8,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ヤマニンスープル,2017103124,7,415,54.0,5,牝,1600,ダ,良,,10,1,0,1,7,9,15.0,8,馬渕繁治,3,6,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
タッチペガサス,2018101137,4,434,54.0,4,牝,1600,ダ,良,,10,1,0,1,4,9,15.0,8,岩本怜,4,3,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
チュウワヴィグラス,2018101234,8,502,56.0,4,牡,1600,ダ,良,,10,1,0,0,8,9,15.0,8,松本剛志,5,7,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ダズリングビーチ,2016105158,1,453,54.0,6,牝,1600,ダ,良,,10,1,0,1,1,9,15.0,8,渡辺竜也,6,1,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
サンシャインワン,2017102256,3,423,51.0,5,牝,1600,ダ,良,,10,1,0,1,3,9,15.0,8,田中洸多,7,2,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
モモハイ,2013105120,2,447,53.0,9,牝,1600,ダ,良,,10,1,0,1,2,9,15.0,8,妹尾将充,8,1,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
スーゼル,2018105832,6,466,54.0,4,牝,1600,ダ,良,,10,1,0,1,6,9,15.0,8,加藤利征,9,5,202247012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
