sire,total_runners,win_rate,top2_rate,top3_rate,avg_finish,turf_top3r,dirt_top3r,sprint_top3r,mile_top3r,middle_top3r,long_top3r
Shamardal,13,0.1538,0.2308,0.3846,5.69,0.4545,0.0,0.4,0.0,0.6,
ニホンピロアワーズ,13,0.0,0.0769,0.0769,9.54,0.0,0.1,0.0,,0.25,
サンカルロ,13,0.0,0.0,0.0,10.92,0.0,0.0,0.0,0.0,0.0,
クリストワイニング,13,0.0,0.0,0.0769,9.08,0.5,0.0,0.0909,,0.0,
マヤノトップガン,12,0.0,0.0,0.0833,8.92,0.1667,0.0,0.1667,0.0,0.0,
インカンテーション,12,0.0,0.0833,0.1667,8.42,0.0,0.2222,0.1667,,0.25,
スーパーホーネット,12,0.0,0.0833,0.1667,8.33,0.4,0.0,0.2,,0.0,
エイシンデピュティ,12,0.0,0.0,0.0833,9.75,0.0,0.125,0.1,0.0,0.0,
Scat Daddy,12,0.3333,0.4167,0.5,5.25,0.3333,1.0,0.8571,0.0,0.0,
Iffraaj,12,0.1667,0.1667,0.3333,4.67,0.3,0.5,0.375,0.3333,0.0,
キャプテンスティーヴ,12,0.0,0.0,0.0833,9.25,0.125,0.0,0.1111,0.0,0.0,
セイウンコウセイ,12,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,
No Nay Never,12,0.1667,0.4167,0.4167,4.42,0.4167,,0.2857,1.0,0.5,
カリズマティック,11,0.0,0.0,0.0,8.91,0.0,0.0,0.0,0.0,0.0,
グランデッツァ,11,0.0,0.1818,0.2727,10.55,0.375,0.0,0.3333,0.5,0.0,
Mendelssohn,11,0.1818,0.2727,0.2727,7.18,0.0,0.375,0.5,0.0,0.25,
タニノフランケル,11,0.0,0.0,0.0909,10.36,0.1429,0.0,0.1429,0.0,0.0,
Giant's Causeway,11,0.1818,0.1818,0.1818,6.91,0.3333,0.0,0.3333,0.0,0.2,
Caravaggio,11,0.0909,0.0909,0.1818,5.36,0.2222,0.0,0.2857,0.0,0.0,
トーセンレーヴ,11,0.0909,0.0909,0.0909,8.91,0.125,0.0,0.0,0.0,0.3333,
Dawn Approach,11,0.0,0.0909,0.0909,9.09,0.1,0.0,0.1667,0.0,0.0,
ビービーガルダン,11,0.0909,0.0909,0.0909,8.27,0.125,0.0,0.125,0.0,0.0,
サトノジェネシス,10,0.0,0.1,0.1,10.2,0.1,,0.0,0.0,0.2,
ストラヴィンスキー,10,0.1,0.2,0.3,6.9,0.375,0.0,0.3,,,
オリオンザサンクス,10,0.0,0.0,0.1,11.2,0.0,0.125,0.1429,0.0,0.0,
Golden Horn,10,0.1,0.1,0.2,7.3,0.2857,0.0,0.0,0.5,0.1667,
ロードバリオス,10,0.0,0.0,0.0,10.6,0.0,,0.0,,,
ヘニーハウンド,10,0.2,0.2,0.2,6.9,0.0,0.2222,0.25,0.0,,
ヴァンキッシュラン,10,0.0,0.1,0.3,5.7,0.2222,1.0,0.6667,0.0,0.25,
トーセンロレンス,10,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,
パーソナルラッシュ,10,0.0,0.1,0.2,8.4,0.0,0.25,0.2222,,0.0,
チチカステナンゴ,10,0.0,0.0,0.1,10.6,0.125,0.0,0.0,0.0,0.25,
チェリークラウン,10,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,
New Approach,10,0.3,0.4,0.4,5.7,0.3333,1.0,0.3333,0.0,0.6,
トーセンモナーク,10,0.0,0.2,0.2,7.6,0.2,0.2,0.0,0.3333,0.3333,
リヤンドファミユ,10,0.0,0.1,0.2,8.7,0.0,0.5,0.2857,0.0,0.0,
Invincible Spirit,10,0.2,0.4,0.6,3.3,0.6667,0.0,0.5,1.0,,
ブラックホーク,10,0.1,0.1,0.1,11.4,0.1111,0.0,0.1,,,
マイネルラヴ,10,0.2,0.3,0.3,7.4,0.4286,0.0,0.3333,,0.0,
Le Havre,10,0.1,0.1,0.3,7.0,0.3,,,0.25,0.4,
Union Rags,9,0.2222,0.3333,0.3333,5.11,0.2,0.5,0.5,0.5,0.25,
ミリオンディスク,9,0.1111,0.1111,0.1111,8.56,0.3333,0.0,0.1667,0.0,,
Street Sense,9,0.2222,0.2222,0.2222,6.78,0.5,0.1429,0.3333,0.0,0.0,
Nyquist,9,0.0,0.3333,0.4444,5.44,0.0,0.5714,0.5,0.3333,0.5,
サンライズバッカス,9,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,
サウンドボルケーノ,9,0.0,0.0,0.0,13.89,0.0,0.0,0.0,,0.0,
サクラゼウス,9,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,
トウケイヘイロー,9,0.2222,0.2222,0.2222,8.67,0.2,0.25,0.3333,0.0,0.2,
Hard Spun,9,0.1111,0.3333,0.3333,6.44,0.5,0.2857,0.2857,1.0,0.0,
エーシンフォワード,9,0.1111,0.1111,0.1111,9.89,0.0,0.3333,0.1667,0.0,0.0,
アポロソニック,9,0.0,0.0,0.0,12.67,0.0,0.0,0.0,0.0,0.0,
Raven's Pass,9,0.1111,0.2222,0.2222,7.33,0.25,0.0,0.0,0.0,1.0,
Practical Joke,9,0.1111,0.1111,0.2222,7.67,0.5,0.1429,0.3333,0.0,0.0,
Sea The Stars,9,0.0,0.1111,0.3333,8.0,0.375,0.0,,0.3333,0.3333,
アサクサデンエン,9,0.0,0.0,0.2222,7.78,0.1429,0.5,0.5,0.0,0.0,
アイファーソング,9,0.0,0.0,0.0,11.89,0.0,0.0,0.0,0.0,0.0,
ブルドッグボス,9,0.0,0.1111,0.1111,10.11,0.0,0.125,0.1667,0.0,0.0,
ボストンハーバー,9,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,,
ペルーサ,9,0.0,0.0,0.0,11.89,0.0,0.0,0.0,,0.0,
Congrats,9,0.0,0.1111,0.2222,5.56,0.4,0.0,0.4,0.0,0.0,
スノードラゴン,9,0.0,0.0,0.0,10.11,0.0,0.0,0.0,0.0,,
Blame,9,0.0,0.1111,0.1111,7.11,0.2,0.0,0.0,0.0,0.2,
ウインクリューガー,8,0.125,0.125,0.125,11.12,0.1429,0.0,0.1429,0.0,,
Candy Ride,8,0.0,0.0,0.125,8.88,0.0,0.25,0.0,0.0,0.25,
エーシントップ,8,0.0,0.125,0.125,10.25,0.125,,0.1429,0.0,,
ユアーズトゥルーリ,8,0.0,0.0,0.0,11.12,0.0,0.0,0.0,0.0,0.0,
Violence,8,0.0,0.125,0.5,5.88,1.0,0.3333,0.5714,,0.0,
ダノンゴーゴー,8,0.0,0.125,0.25,9.5,0.25,,0.25,,,
More Than Ready,8,0.0,0.0,0.125,7.75,0.1429,0.0,0.1429,0.0,,
スマートオーディン,8,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,
New Bay,8,0.0,0.0,0.0,8.88,0.0,0.0,0.0,0.0,0.0,
シングンオペラ,8,0.0,0.25,0.25,8.38,0.2857,0.0,0.0,0.3333,0.25,
Point of Entry,8,0.375,0.625,0.75,2.88,0.8571,0.0,1.0,1.0,0.6,
Constitution,8,0.375,0.5,0.5,5.12,0.3333,0.6,0.0,1.0,0.6,
Galileo,8,0.0,0.125,0.125,7.62,0.125,,,0.0,0.1667,
ワイルドワンダー,8,0.0,0.125,0.25,7.88,0.0,0.3333,0.0,0.0,0.6667,
ノーザンリバー,8,0.125,0.125,0.125,10.12,0.0,0.2,0.1429,,0.0,
Lemon Drop Kid,8,0.125,0.125,0.25,7.38,1.0,0.1429,0.25,,0.25,
Palace Malice,7,0.2857,0.2857,0.2857,5.43,0.3333,0.0,0.0,0.5,0.3333,
キモンノカシワ,7,0.1429,0.2857,0.2857,5.14,0.0,0.6667,0.5,,0.0,
Authentic,7,0.1429,0.2857,0.2857,6.57,0.0,0.4,0.3333,0.0,0.3333,
レッドベルジュール,7,0.0,0.2857,0.2857,5.71,0.5,0.0,0.6667,0.0,0.0,
ヤングマンパワー,7,0.0,0.0,0.2857,7.57,0.2857,,1.0,0.0,0.3333,
オペラハウス,7,0.1429,0.1429,0.2857,6.0,0.2,0.5,0.0,0.5,0.5,
St Mark's Basilica,7,0.0,0.2857,0.4286,5.43,0.4286,,1.0,0.0,0.0,
Shackleford,7,0.2857,0.4286,0.5714,4.0,1.0,0.5,0.3333,0.5,1.0,
Shanghai Bobby,7,0.2857,0.2857,0.2857,9.0,0.0,0.4,0.3333,0.0,0.5,
