kaisai_key,yyyymmdd,course_name,kaisai_ku,weather_code,turf_baba_code,turf_baba_sa,turf_baba_inner,turf_baba_mid,turf_baba_outer,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_sa,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,turf_type,grass_height,rain_mid,renzoku_day,data_ku
2020020104,20200621,函館,3,1,1 ,-39.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,2,14.0,10.5,4,4
2020050306,20200621,東京,1,2,1 ,-15.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,16.0,33.0,18,4
2020090306,20200621,阪神,2,1,1 ,-10.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,3,16.0,90.0,6,4
2020020105,20200627,函館,3,4,3 ,-5.0,2,1,1,0.0,0.0,0.0,0.0,0.0,4 ,-22.0,1,1,1,2,14.0,21.0,5,4
2020050307,20200627,東京,1,2,1 ,-18.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,14.0,21.0,19,4
2020090307,20200627,阪神,2,2,1 ,-22.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,0.5,7,4
2020020106,20200628,函館,3,4,3 ,-5.0,2,1,1,0.0,0.0,0.0,0.0,0.0,4 ,-22.0,1,1,1,2,14.0,21.0,6,4
2020050308,20200628,東京,1,4,3 ,-1.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-18.0,1,1,1,3,14.0,21.0,20,4
2020090308,20200628,阪神,2,4,2 ,-10.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,0.5,8,4
2020020201,20200704,函館,3,2,1 ,-20.0,2,1,1,0.0,0.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,2,14.0,38.5,7,4
2020030201,20200704,福島,1,4,3 ,-4.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,4 ,-19.0,1,1,1,3,16.0,16.0,1,4
2020090401,20200704,阪神,2,2,3 ,7.0,4,3,3,2.0,2.0,1.0,1.0,1.0,4 ,-21.0,1,1,1,3,16.0,67.5,9,4
2020020202,20200705,函館,3,2,2 ,-12.0,2,1,1,0.0,0.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,2,14.0,38.5,8,4
2020030202,20200705,福島,1,1,3 ,-4.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,4 ,-19.0,1,1,1,3,16.0,16.0,2,4
2020090402,20200705,阪神,2,2,3 ,7.0,4,3,3,2.0,2.0,1.0,1.0,1.0,4 ,-21.0,1,1,1,3,16.0,67.5,10,4
2020020203,20200711,函館,3,4,2 ,-2.0,1,1,1,1.0,1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,2,14.0,11.0,9,4
2020030203,20200711,福島,1,2,3 ,-4.0,2,1,1,0.0,0.0,0.0,0.0,0.0,4 ,-19.0,1,1,1,3,16.0,5.0,3,4
2020090403,20200711,阪神,2,4,3 ,10.0,4,4,3,2.0,2.0,2.0,1.0,1.0,4 ,-21.0,1,1,1,3,16.0,169.0,11,4
2020020204,20200712,函館,3,4,2 ,-2.0,1,1,1,1.0,1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,2,14.0,11.0,10,4
