race_id,year,month,course,course_enc,distance,surface,condition,num_horses,class_code,class_label,cond_key,actual_top3,ai_top3,trio_hit,trio_invest,trio_return,umaren_hit,umaren_invest,umaren_return,wide_hit,wide_invest,wide_return,combo_hit,combo_invest,combo_return
06185310,2018,12,中山,5,1200,ダ,良,16,67,2win,D,"{1: 6, 2: 9, 3: 1}","[4, 9, 10]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08183112,2018,4,京都,7,1800,ダ,良,16,43,1win,C,"{1: 1, 2: 4, 3: 5}","[8, 7, 5]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08183512,2018,5,京都,7,1800,ダ,良,16,43,1win,C,"{1: 16, 2: 7, 3: 6}","[16, 2, 7]",True,700,23706,True,700,8466.5,True,700,2537.5,True,1000,7860.0
06182310,2018,3,中山,5,1800,ダ,稍,16,67,2win,C,"{1: 4, 2: 2, 3: 14}","[4, 2, 6]",True,700,927,True,700,1176.0,True,700,350.0,True,1000,1090.0
07182511,2018,3,中京,6,1800,ダ,稍,15,67,2win,C,"{1: 5, 2: 4, 3: 11}","[5, 2, 15]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
05182C11,2018,5,東京,4,1600,ダ,良,16,67,2win,C,"{1: 11, 2: 7, 3: 4}","[11, 7, 16]",False,700,0,True,700,38850.0,True,700,11655.0,True,1000,36075.0
05181712,2018,2,東京,4,1400,芝,良,16,43,1win,D,"{1: 6, 2: 10, 3: 4}","[6, 8, 15]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
04181111,2018,4,新潟,3,1000,芝,良,16,43,1win,D,"{1: 13, 2: 1, 3: 12}","[13, 6, 5]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
05182508,2018,5,東京,4,1400,芝,良,14,43,1win,D,"{1: 10, 2: 9, 3: 2}","[2, 9, 10]",True,700,811,False,700,0.0,True,700,1162.0,True,1000,830.0
03182711,2018,7,福島,2,1200,芝,良,16,43,1win,D,"{1: 9, 2: 3, 3: 16}","[3, 2, 14]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
04183311,2018,10,新潟,3,1000,芝,稍,18,43,1win,D,"{1: 6, 2: 18, 3: 15}","[17, 18, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06185412,2018,12,中山,5,1200,芝,良,16,43,1win,D,"{1: 12, 2: 2, 3: 1}","[13, 9, 12]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08182804,2018,2,京都,7,3170,ダ,良,13,131,OP,A,"{1: 11, 2: 9, 3: 13}","[9, 4, 3]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
04181704,2018,5,新潟,3,3290,芝,重,14,131,OP,B,"{1: 2, 2: 6, 3: 10}","[5, 10, 4]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
05184509,2018,10,東京,4,3110,芝,稍,11,179,G2G3,A,"{1: 2, 2: 11, 3: 10}","[11, 10, 2]",True,700,1600,True,700,3685.5,True,700,1879.5,True,1000,3975.0
05185508,2018,11,東京,4,3110,芝,良,11,131,OP,A,"{1: 9, 2: 5, 3: 6}","[7, 5, 4]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
05181608,2018,2,東京,4,3100,ダ,良,14,131,OP,A,"{1: 1, 2: 13, 3: 7}","[5, 1, 12]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08181611,2018,1,京都,7,1400,ダ,重,16,131,OP,D,"{1: 9, 2: 16, 3: 14}","[16, 15, 9]",True,700,5073,True,700,3192.0,True,700,955.5,True,1000,2962.5
08182811,2018,2,京都,7,1200,ダ,良,15,131,OP,D,"{1: 8, 2: 14, 3: 11}","[14, 9, 8]",True,700,13082,True,700,7581.0,True,700,2271.5,True,1000,7037.5
08182312,2018,2,京都,7,1200,ダ,稍,14,43,1win,D,"{1: 4, 2: 8, 3: 10}","[4, 11, 8]",True,700,20765,True,700,4819.5,True,700,1445.5,True,1000,4475.0
09181612,2018,3,阪神,8,1200,ダ,稍,16,43,1win,D,"{1: 7, 2: 12, 3: 15}","[15, 16, 7]",True,700,25973,False,700,0.0,True,700,4483.5,True,1000,3202.5
09182408,2018,4,阪神,8,1200,ダ,良,16,43,1win,D,"{1: 10, 2: 5, 3: 7}","[5, 10, 1]",False,700,0,True,700,6300.0,True,700,1890.0,True,1000,5850.0
09183210,2018,6,阪神,8,1400,ダ,良,16,43,1win,D,"{1: 9, 2: 12, 3: 15}","[9, 2, 12]",False,700,0,True,700,5813.5,True,700,1743.0,True,1000,5397.5
03182411,2018,7,福島,2,2000,芝,良,12,163,G2G3,A,"{1: 4, 2: 5, 3: 8}","[5, 6, 10]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
01181311,2018,8,札幌,0,2600,芝,良,14,131,OP,A,"{1: 10, 2: 3, 3: 1}","[3, 1, 10]",True,700,3679,True,700,5747.0,True,700,3045.0,True,1000,6280.0
01182611,2018,9,札幌,0,2600,芝,良,14,131,OP,A,"{1: 14, 2: 13, 3: 12}","[6, 1, 13]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08184508,2018,10,京都,7,1800,ダ,良,13,43,1win,A,"{1: 4, 2: 3, 3: 10}","[4, 8, 9]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06183411,2018,4,中山,5,1200,芝,良,14,67,2win,D,"{1: 14, 2: 5, 3: 1}","[5, 1, 7]",False,700,0,False,700,0.0,True,700,1375.5,True,1000,982.5
08183111,2018,4,京都,7,1200,芝,良,18,67,2win,D,"{1: 10, 2: 6, 3: 11}","[7, 4, 11]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
04181311,2018,5,新潟,3,1000,芝,良,16,67,2win,D,"{1: 10, 2: 12, 3: 15}","[10, 12, 6]",False,700,0,True,700,8977.5,True,700,2691.5,True,1000,8335.0
04181811,2018,5,新潟,3,1000,芝,稍,16,131,OP,D,"{1: 11, 2: 13, 3: 1}","[1, 5, 4]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
02181511,2018,6,函館,1,1200,芝,稍,14,67,2win,D,"{1: 3, 2: 7, 3: 11}","[11, 3, 7]",True,700,1664,False,700,0.0,True,700,1998.5,True,1000,1427.5
02182511,2018,7,函館,1,1200,芝,良,16,67,2win,D,"{1: 10, 2: 4, 3: 9}","[4, 14, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
04182910,2018,8,新潟,3,1000,芝,良,11,67,2win,D,"{1: 5, 2: 10, 3: 3}","[10, 3, 5]",True,700,2352,True,700,7350.0,True,700,2572.5,True,1000,7087.5
06184210,2018,9,中山,5,1200,ダ,良,13,67,2win,D,"{1: 10, 2: 8, 3: 12}","[8, 10, 12]",True,700,871,True,700,1904.0,True,700,1263.5,True,1000,2262.5
04183411,2018,10,新潟,3,1200,ダ,良,12,67,2win,D,"{1: 12, 2: 9, 3: 7}","[10, 4, 5]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07181105,2018,1,中京,6,3330,芝,良,14,131,OP,A,"{1: 5, 2: 4, 3: 13}","[2, 14, 5]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
05182212,2018,4,東京,4,1600,ダ,良,16,43,1win,C,"{1: 15, 2: 11, 3: 16}","[11, 8, 9]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08184808,2018,10,京都,7,1400,ダ,良,16,43,1win,D,"{1: 6, 2: 12, 3: 10}","[3, 16, 12]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06182410,2018,3,中山,5,1800,ダ,良,16,131,OP,C,"{1: 4, 2: 6, 3: 10}","[4, 10, 14]",False,700,0,False,700,0.0,True,700,885.5,True,1000,632.5
06183311,2018,3,中山,5,1600,芝,良,16,163,G2G3,C,"{1: 9, 2: 3, 3: 15}","[1, 4, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
