race_id,horse_id,corner_position_delta,jockey_trainer_combo_top3_exp
0519161014,11100057.0,-5.0,0.20364741641337386
05192B1114,11100057.0,-7.0,0.21052631578947367
0519371104,11100057.0,-9.0,0.23809523809523808
0519561110,11100057.0,-13.0,0.05555555555555555
0619241004,11100057.0,-15.0,0.1760299625468165
0719341115,11100057.0,0.0,
0918411104,11100057.0,-10.0,
0118130803,11100063.0,,0.0
0118220811,11100063.0,0.0,0.3333333333333333
0118230912,11100063.0,-1.0,0.25
0218220903,11100063.0,-3.0,0.2
0218250709,11100063.0,1.0,0.0
0319140511,11100063.0,-2.0,0.0
0419160505,11100063.0,1.0,0.0
0719110404,11100063.0,5.0,0.05
1018170804,11100063.0,4.0,0.125
1019141016,11100063.0,0.0,0.375
1019181205,11100063.0,-1.0,0.07692307692307693
0318111115,11100215.0,,
0318211112,11100215.0,-3.0,
0319211109,11100215.0,-8.0,0.0
0319321101,11100215.0,-8.0,0.5
0320351108,11100215.0,-12.0,0.0
0418221105,11100215.0,-12.0,0.0
0418291011,11100215.0,-11.0,
0418361117,11100215.0,-8.0,0.11764705882352941
0419111101,11100215.0,-10.0,0.0
0419291008,11100215.0,-7.0,0.0
0420161106,11100215.0,-8.0,0.09523809523809523
0619141009,11100215.0,-2.0,0.0
0620111013,11100215.0,-4.0,0.034482758620689655
0620321013,11100215.0,-15.0,0.25
0720121104,11100215.0,-6.0,0.0
0720261107,11100215.0,-15.0,0.0
0818381202,11100215.0,-8.0,0.02631578947368421
0819241011,11100215.0,-1.0,0.0
0820241004,11100215.0,-1.0,0.0
0820461010,11100215.0,-2.0,0.0
0918491003,11100215.0,-8.0,0.05454545454545454
0919351112,11100215.0,-8.0,0.0
0919481012,11100215.0,-3.0,0.0
0920261012,11100215.0,-9.0,
1018111106,11100215.0,-7.0,0.05555555555555555
1019161114,11100215.0,-1.0,0.0
1020271115,11100215.0,-8.0,0.0
0418251002,11100289.0,,0.0
04182B1011,11100289.0,1.0,0.0
0518271202,11100289.0,-10.0,0.3333333333333333
05182C0806,11100289.0,-12.0,0.0
0418221008,11100296.0,,0.0
0419141209,11100296.0,-1.0,0.0
0818471213,11100296.0,-1.0,0.0625
0918571211,11100296.0,-7.0,0.043478260869565216
10182C1015,11100296.0,-16.0,0.02857142857142857
0418291002,11100363.0,,0.16666666666666666
0618120905,11100363.0,-5.0,0.15151515151515152
0618341113,11100363.0,-11.0,
0618461106,11100363.0,-13.0,0.09523809523809523
0918221001,11100363.0,-12.0,
0518110903,11100377.0,,0.0
0918131004,11100377.0,-16.0,
0518561116,11100405.0,,0.4
0618441107,11100405.0,-13.0,0.0
0818161104,11100405.0,-1.0,0.0
0818281111,11100405.0,-8.0,0.0
0918151101,11100405.0,-8.0,0.38461538461538464
0318270409,11100416.0,,0.0
0418130108,11100416.0,-5.0,0.0
0419110112,11100416.0,0.0,0.6666666666666666
0518310406,11100416.0,4.0,0.16666666666666666
0518550803,11100416.0,0.0,0.3333333333333333
0519310409,11100416.0,-1.0,0.3125
0718120401,11100416.0,4.0,0.25
0718430510,11100416.0,0.0,0.20588235294117646
0719110502,11100416.0,-1.0,0.2
0719230501,11100416.0,7.0,0.1891891891891892
0818250409,11100416.0,6.0,0.2727272727272727
0318150505,11100420.0,,
0818380802,11100420.0,0.0,0.0
0918340405,11100420.0,-1.0,0.0
0618151005,11100497.0,,0.14925373134328357
0618421005,11100590.0,,0.0
0618531012,11100590.0,-2.0,
0619131005,11100590.0,-5.0,0.0
0818271201,11100590.0,-6.0,0.18181818181818182
08183B1203,11100590.0,-3.0,0.4074074074074074
0818451210,11100590.0,-3.0,0.0
0918161209,11100590.0,-4.0,0.09090909090909091
1018261008,11100590.0,-8.0,0.125
0418261010,11100603.0,,
0718311101,11100603.0,0.0,
0918361010,11100603.0,0.0,0.3157894736842105
0618150906,11100625.0,,0.0
0618581005,11100625.0,-13.0,0.0
0619221013,11100625.0,-4.0,0.5
0619311002,11100625.0,-14.0,0.3333333333333333
0620221011,11100625.0,-13.0,1.0
0620341116,11100625.0,-14.0,0.5
0818131002,11100625.0,-16.0,
0819111005,11100625.0,-11.0,0.0
