race_id,category,horses
202502010204,能力,5オール6ドラギ9リギータイム指数へ
202502010204,上昇度,7ヨヒー8ホウオ10アレグ調子偏差値へ
202502010206,能力,9フィエ11レクス13ペールタイム指数へ
202502010206,上昇度,3フラン8ピティ10ラマヌ調子偏差値へ
202502010207,能力,1サベー2オンマ4オカメタイム指数へ
202502010207,上昇度,3ゲッテ7キャリ9レモン調子偏差値へ
202502010208,能力,3シアタ9ペルフ11パッシタイム指数へ
202502010208,上昇度,4クイン7ザング13アジュ調子偏差値へ
202502010209,能力,1マルカ2イリス11プレミタイム指数へ
202502010209,上昇度,3クモヒ9ヴィー10ゲンジ調子偏差値へ
202502010210,能力,11リアド12クロド14クォータイム指数へ
202502010210,上昇度,3スピー7ヒルノ12クロド調子偏差値へ
202502010211,能力,4スイミ9アイノ13トウカタイム指数へ
202502010211,上昇度,3ハート5ドゥア14タイキ調子偏差値へ
202502010212,能力,1モーメ5コッレ8ドゥラタイム指数へ
202502010212,上昇度,1モーメ7トモジ11ブルー調子偏差値へ
202502010301,能力,2ブラッ5ゴール15ニシノタイム指数へ
202502010301,上昇度,3クレド9ロネッ12グリフ調子偏差値へ
202502010302,能力,1メイシ5デンリ10ハイエタイム指数へ
202502010302,上昇度,5デンリ9フォレ10ハイエ調子偏差値へ
202502010303,能力,3トモジ9メイシ10サンラタイム指数へ
202502010303,上昇度,1キンセ2ヴィー5インタ調子偏差値へ
202502010304,能力,2メイシ12アオイ13ヤマニタイム指数へ
202502010304,上昇度,2メイシ3カリー7スリー調子偏差値へ
202502010307,能力,4ハート5デルマ12パーフタイム指数へ
202502010307,上昇度,4ハート10ディア13ホウオ調子偏差値へ
202502010308,能力,3オンマ7モンシ12テイエタイム指数へ
202502010308,上昇度,1ヒメカ4スイッ6ナリノ調子偏差値へ
202502010309,能力,7ミクス9マキシ10ヒラボタイム指数へ
202502010309,上昇度,2アルマ6ジーテ8スプリ調子偏差値へ
202502010310,能力,1ペリプ3ビッグ8オールタイム指数へ
202502010310,上昇度,4ローレ5マイフ7オロス調子偏差値へ
202502010311,能力,3マルプ5ゴール9ゴキゲタイム指数へ
202502010311,上昇度,1シック5ゴール12アップ調子偏差値へ
202502010312,能力,1リーゼ2サムシ4トモジタイム指数へ
202502010312,上昇度,1リーゼ2サムシ7ロング調子偏差値へ
202502010401,能力,1ベビー8ポッド13ジョータイム指数へ
202502010401,上昇度,1ベビー3アドマ8ポッド調子偏差値へ
202502010402,能力,1ハイゼ3シェリ4ハッピタイム指数へ
202502010402,上昇度,4ハッピ6カシマ11ビスケ調子偏差値へ
202502010403,能力,4アスゴ10ショウ11エンジタイム指数へ
202502010403,上昇度,1ヒロス4アスゴ5カービ調子偏差値へ
202502010404,能力,2アルハ8ハクサ13スペシタイム指数へ
202502010404,上昇度,5ヤマニ10シンヒ13スペシ調子偏差値へ
202502010406,能力,1ハイク6ザハン8マンオタイム指数へ
202502010406,上昇度,5ロード7リュウ9エイシ調子偏差値へ
202502010407,能力,4スピン11シホリ12スティタイム指数へ
202502010407,上昇度,4スピン6レッド7ザラタ調子偏差値へ
202502010408,能力,2カルプ3クイン8アッシタイム指数へ
202502010408,上昇度,1スマッ3クイン5ビッグ調子偏差値へ
202502010409,能力,6テリオ8レイピ10ウインタイム指数へ
202502010409,上昇度,4エイト8レイピ9キュー調子偏差値へ
202502010410,能力,1グラン8パフ12プルナタイム指数へ
202502010410,上昇度,4コスモ8パフ10バギー調子偏差値へ
202502010411,能力,4トーセ7エマヌ13レオテタイム指数へ
202502010411,上昇度,1ビルカ4トーセ5ドーバ調子偏差値へ
202502010412,能力,2ケープ7ローマ10ランスタイム指数へ
202502010412,上昇度,2ケープ6コルヴ8プレゼ調子偏差値へ
202502010501,能力,1シンヒ7ブラッ11リリータイム指数へ
202502010501,上昇度,4レオン6オーケ8ズット調子偏差値へ
202502010502,能力,2ケイア3ピスト10ハイクタイム指数へ
202502010502,上昇度,1ステイ2ケイア8ウィス調子偏差値へ
202502010503,能力,5ヒサエ9デルマ13キタノタイム指数へ
202502010503,上昇度,3ハッピ5ヒサエ8デアル調子偏差値へ
202502010504,能力,2アルハ6ペール11アイルタイム指数へ
202502010504,上昇度,2アルハ4アルマ7カリー調子偏差値へ
202502010506,能力,6オキョ8テーオ10アスクタイム指数へ
202502010506,上昇度,1ブラッ5ララエ10アスク調子偏差値へ
202502010507,能力,4トレミ13マイス14イリスタイム指数へ
202502010507,上昇度,4トレミ6マイネ13マイス調子偏差値へ
202502010508,能力,1ルシー2サベー10ミッキタイム指数へ
202502010508,上昇度,9キング11ナンヨ12ミスタ調子偏差値へ
202502010509,能力,1ハリウ3エルサ5ラセータイム指数へ
202502010509,上昇度,2スプリ4アルマ7ブルー調子偏差値へ
202502010510,能力,2タイキ11ジルバ16マイネタイム指数へ
202502010510,上昇度,1コスモ8ウイン9バード調子偏差値へ
