race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202509040309,18,4896,48.7,368939.5,13729.8,1262.4
202509040310,9,504,45.2,8117.6,474.9,113.0
202509040311,15,2730,66.5,66666.6,3932.7,666.9
202509040312,14,2184,38.7,70269.4,4151.8,528.4
202506040401,9,504,22.3,17195.7,859.5,110.3
202506040402,16,3360,40.2,769999.8,13091.4,865.9
202506040403,15,2730,86.9,202736.7,4074.1,603.4
202506040404,11,990,36.0,57991.1,1905.0,233.8
202506040405,10,720,25.7,31561.5,1328.4,172.4
202506040406,16,3360,73.4,182592.7,6268.6,791.0
202506040407,18,4896,87.1,672825.5,8512.7,1169.3
202506040408,16,3360,151.6,769999.8,6433.0,631.8
202506040409,8,336,27.6,2641.7,320.9,86.3
202506040410,14,2184,51.7,39317.4,3013.5,527.6
202506040411,16,3360,61.0,45549.5,5977.4,879.3
202506040412,16,3360,49.6,769999.8,8502.1,822.3
202509040401,13,1716,45.0,36629.3,2859.1,416.8
202509040402,10,720,42.1,11105.2,870.2,173.4
202509040403,16,3360,49.8,630483.5,8442.1,858.5
202509040404,16,3360,113.3,392287.4,5117.6,735.6
202509040405,7,210,11.9,3606.4,298.8,48.4
202509040406,12,1320,45.4,30808.4,2126.4,314.6
202509040407,14,2184,43.8,70764.8,3840.9,516.0
202509040408,13,1716,30.3,85270.7,3552.3,426.9
202509040409,9,504,12.1,26864.9,1131.4,114.2
202509040410,11,990,45.7,23119.5,1643.3,252.6
202509040411,18,4896,98.8,209878.1,8557.2,1162.4
202509040412,16,3360,34.2,148494.1,9411.9,919.1
202506040501,16,3360,64.4,252281.6,7247.4,769.8
202506040502,10,720,28.6,31769.8,1187.4,163.8
202506040503,16,3360,20.0,769999.8,16233.1,1081.2
202506040504,16,3360,80.7,769999.8,8014.3,759.5
202506040505,13,1716,58.3,68778.1,2402.6,395.5
202506040506,11,990,26.9,67628.5,2538.6,265.6
202506040507,16,3360,73.4,769999.8,9805.5,820.7
202506040508,14,2184,30.6,180453.6,7171.1,546.9
202506040509,11,990,17.2,92258.4,2573.7,256.9
202506040510,9,504,17.6,5611.9,747.1,106.1
