race_id,num_horses,wide_min,wide_max,wide_median
202005010710,16,3.2,251.5,56.1
202005010711,16,3.5,194.3,50.6
202005010712,13,2.4,131.6,28.9
202008020701,16,1.6,203.5,78.2
202008020702,15,2.1,210.5,59.7
202008020703,16,3.3,265.7,64.7
202008020704,14,2.2,139.4,37.7
202008020705,16,2.7,223.5,57.1
202008020706,10,2.5,66.7,13.4
202008020707,7,1.6,54.2,7.1
202008020708,16,4.6,217.9,42.3
202008020709,8,2.2,33.4,8.9
202008020710,16,3.9,172.4,45.6
202008020711,17,5.0,260.5,52.4
202008020712,16,4.6,237.1,41.6
202010011101,16,3.4,233.7,48.5
202010011102,15,2.4,159.3,48.8
202010011103,18,2.8,238.3,71.4
202010011104,16,3.6,191.2,45.0
202010011105,15,4.3,143.8,36.6
202010011106,7,1.4,45.9,8.0
202010011107,17,4.4,193.0,44.5
202010011108,14,2.4,138.7,38.8
202010011109,11,2.3,75.4,22.2
202010011110,16,3.0,215.7,50.9
202010011111,18,3.0,217.4,60.7
202010011112,17,4.4,199.7,52.9
202005010801,16,2.3,218.8,53.7
202005010802,16,3.0,248.6,61.6
202005010803,16,3.9,258.8,40.6
202005010804,16,2.6,253.5,59.5
202005010805,10,1.7,155.9,20.2
202005010806,11,1.9,156.4,25.2
202005010807,16,3.5,247.0,54.4
202005010808,10,1.6,117.3,19.0
202005010809,14,2.4,169.5,38.5
202005010810,10,2.4,98.8,14.6
202005010811,16,2.1,221.6,59.6
202005010812,16,3.3,259.6,53.2
202008020801,16,2.5,154.4,52.8
202008020802,16,3.1,187.5,48.8
202008020803,15,2.6,226.9,55.0
202008020804,14,3.5,199.5,40.7
202008020805,16,2.2,189.5,64.8
202008020806,11,3.0,117.3,18.0
202008020807,11,1.8,96.6,24.1
202008020808,16,2.7,230.6,56.1
202008020809,11,2.1,136.7,22.2
202008020810,13,3.1,112.0,31.5
202008020811,16,2.3,197.5,55.7
202008020812,16,3.5,255.7,52.3
202010011201,14,3.7,189.9,34.1
202010011202,14,3.8,142.6,30.9
202010011203,18,4.4,212.3,57.4
202010011204,12,1.9,131.3,28.6
202010011205,12,2.4,120.9,26.4
202010011206,16,2.6,197.5,53.3
202010011207,14,3.3,152.2,28.7
202010011208,15,3.1,148.2,40.3
202010011209,10,1.6,78.8,21.1
202010011210,18,3.1,236.4,60.8
202010011211,14,2.8,144.5,37.1
202010011212,12,2.8,122.0,26.4
