kaisai_key,yyyymmdd,kaisai_ku,youbi,course_name,weather_code,turf_baba_code,turf_baba_inner,turf_baba_mid,turf_baba_outer,turf_baba_sa,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,dirt_baba_sa,data_ku,renzoku_day,turf_type,grass_height,tennatsu,touketsu,rain_mid
2020040102,20200510,3,日,新潟,4,2,2.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-15.0,4,,,,,,
2020050206,20200510,1,日,東京,2,1,2.0,2.0,2.0,-17.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080306,20200510,2,日,京都,4,2,3.0,2.0,2.0,-3.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-12.0,4,,,,,,
2020040103,20200516,3,土,新潟,2,1,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050207,20200516,1,土,東京,4,2,2.0,2.0,2.0,-14.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020080307,20200516,2,土,京都,4,3,3.0,2.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-12.0,4,,,,,,
2020040104,20200517,3,日,新潟,4,2,3.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-9.0,4,,,,,,
2020050208,20200517,1,日,東京,1,2,2.0,2.0,2.0,-14.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020080308,20200517,2,日,京都,2,3,3.0,2.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-12.0,4,,,,,,
2020040105,20200523,3,土,新潟,1,1,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-9.0,4,,,,,,
2020050209,20200523,1,土,東京,2,2,2.0,2.0,2.0,-20.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020080309,20200523,2,土,京都,1,1,3.0,2.0,2.0,-8.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020040106,20200524,3,日,新潟,1,1,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050210,20200524,1,日,東京,1,1,2.0,2.0,2.0,-26.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080310,20200524,2,日,京都,1,1,3.0,2.0,2.0,-8.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020050211,20200530,1,土,東京,1,1,2.0,2.0,2.0,-28.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080311,20200530,2,土,京都,1,1,3.0,2.0,2.0,-10.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020050212,20200531,1,日,東京,2,1,2.0,2.0,2.0,-28.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080312,20200531,2,日,京都,2,1,3.0,2.0,2.0,-10.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020050301,20200606,1,土,東京,2,1,2.0,2.0,2.0,-18.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020090301,20200606,2,土,阪神,2,1,1.0,1.0,1.0,-15.0,-1.0,-1.0,0.0,0.0,0.0,1,4.0,4.0,4.0,-6.0,4,,,,,,
2020050302,20200607,1,日,東京,1,1,2.0,2.0,2.0,-18.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020090302,20200607,2,日,阪神,1,1,1.0,1.0,1.0,-15.0,-1.0,-1.0,0.0,0.0,0.0,1,4.0,4.0,4.0,-6.0,4,,,,,,
2020020101,20200613,3,土,函館,1,1,1.0,1.0,1.0,-22.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050303,20200613,1,土,東京,2,2,2.0,2.0,2.0,-10.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-17.0,4,,,,,,
2020090303,20200613,2,土,阪神,4,3,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-21.0,4,,,,,,
2020020102,20200614,3,日,函館,2,1,1.0,1.0,1.0,-22.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050304,20200614,1,日,東京,4,3,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-18.0,4,,,,,,
2020090304,20200614,2,日,阪神,4,3,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-21.0,4,,,,,,
2020020103,20200620,3,土,函館,1,1,1.0,1.0,1.0,-39.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050305,20200620,1,土,東京,1,3,3.0,2.0,2.0,-3.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-18.0,4,,,,,,
2020090305,20200620,2,土,阪神,1,2,3.0,2.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020020104,20200621,3,日,函館,1,1,1.0,1.0,1.0,-39.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-8.0,4,,,,,,
2020050306,20200621,1,日,東京,2,1,3.0,2.0,2.0,-15.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020090306,20200621,2,日,阪神,1,1,3.0,2.0,2.0,-10.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-9.0,4,,,,,,
2020020105,20200627,3,土,函館,4,3,2.0,1.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-22.0,4,,,,,,
2020050307,20200627,1,土,東京,2,1,3.0,2.0,2.0,-18.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020090307,20200627,2,土,阪神,2,1,3.0,2.0,2.0,-22.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-6.0,4,,,,,,
2020020106,20200628,3,日,函館,4,3,2.0,1.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-22.0,4,,,,,,
2020050308,20200628,1,日,東京,4,3,3.0,2.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-18.0,4,,,,,,
2020090308,20200628,2,日,阪神,4,2,3.0,2.0,2.0,-10.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020020201,20200704,3,土,函館,2,1,2.0,1.0,1.0,-20.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-9.0,4,,,,,,
2020030201,20200704,1,土,福島,4,3,1.0,1.0,1.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-19.0,4,,,,,,
2020090401,20200704,2,土,阪神,2,3,4.0,3.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,4,1.0,1.0,1.0,-21.0,4,,,,,,
2020020202,20200705,3,日,函館,2,2,2.0,1.0,1.0,-12.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
2020030202,20200705,1,日,福島,1,3,1.0,1.0,1.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-19.0,4,,,,,,
2020090402,20200705,2,日,阪神,2,3,4.0,3.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,4,1.0,1.0,1.0,-21.0,4,,,,,,
2020020203,20200711,3,土,函館,4,2,1.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-14.0,4,,,,,,
