race_id,course,race_num,race_name,condition,num_horses,distance,surface,track_condition,top1_num,top1_name,top1_score,top2_num,top3_num,top1_finish,top2_finish,top3_finish,trio_bets,trio_result,bet_type,trio_hit,trio_payout,umaren_payout,actual_payout,investment,profit,status,date,umaren_hit,trio_bets_str,top2_name,top2_score,top3_name,top3_score,top1_num_recovered,top1_num_dp,top1_num_final,track_code,track,horse_num,odds,pop_rank,hit
202608030302,京都,2,3歳未勝利,X,,1800.0,ダ,,,,,,,13,3,2,,4-8-10,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,2-4-12; 2-10-12; 4-9-12; 4-10-12; 4-11-12; 9-10-12; 10-11-12,,,,,12.0,,12.0,08,京都,12.0,2.8,1.0,False
202608030303,京都,3,3歳未勝利,C,,1600.0,芝,,,,,,,4,2,11,,1-6-16,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-4-6; 1-4-9; 1-4-13; 1-4-18; 4-6-9; 4-9-13; 4-9-18,,,,,4.0,,4.0,08,京都,4.0,39.6,10.0,False
202608030304,京都,4,3歳未勝利,D,,1400.0,芝,,,,,,,11,5,4,,5-6-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,3-5-13; 3-5-17; 3-6-13; 3-6-17; 3-13-15; 3-13-17; 3-15-17,,,,,3.0,,3.0,08,京都,3.0,48.5,12.0,False
202608030305,京都,5,3歳未勝利,A,,2000.0,芝,,,,,,,1,3,2,,1-6-10,trio,1.0,730,0,730.0,700,30.0,settled,20260502,0.0,1-3-6; 1-6-7; 1-6-10; 1-6-11; 3-6-10; 6-7-10; 6-10-11,,,,,6.0,,6.0,08,京都,6.0,18.7,7.0,True
202608030306,京都,6,4歳以上1勝クラス,B,,1800.0,ダ,,,,,,,11,2,9,,1-7-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-8-10; 1-8-11; 4-8-10; 4-8-11; 7-8-10; 7-8-11; 8-10-11,,,,,8.0,,8.0,08,京都,8.0,42.7,13.0,False
202608030307,京都,7,3歳1勝クラス,D,,1400.0,芝,,,,,,,6,1,9,,4-5-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-7; 1-5-7; 1-7-8; 1-7-12; 2-5-7; 5-7-8; 5-7-12,,,,,7.0,,7.0,08,京都,7.0,48.8,13.0,False
202608030308,京都,8,4歳以上1勝クラス,D,,1400.0,ダ,,,,,,,8,7,13,,4-11-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,4-5-7; 4-7-8; 5-7-8; 5-7-11; 5-7-13; 7-8-11; 7-8-13,,,,,7.0,,7.0,08,京都,7.0,43.9,12.0,False
202608030309,京都,9,矢車賞,A,,2200.0,芝,,,,,,,7,3,2,,5-7-9,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-5; 1-2-9; 1-3-5; 1-3-9; 1-5-7; 1-5-9; 1-7-9,,,,,1.0,,1.0,08,京都,1.0,5.4,3.0,False
202608030310,京都,10,京極特別,D,,1200.0,ダ,,,,,,,6,4,5,,5-8-10,trio,0.0,0,0,0.0,700,-700.0,settled,20260502,0.0,1-2-5; 1-2-7; 1-2-8; 1-2-11; 1-5-7; 1-7-8; 1-7-11,,,,,1.0,,1.0,08,京都,1.0,66.3,13.0,False
202608030311,京都,11,ユニコーンS,B,,1900.0,ダ,,,,,,,2,3,1,,2-4-11,trio,1.0,860,0,860.0,700,160.0,settled,20260502,0.0,2-4-11; 2-5-11; 2-6-11; 2-9-11; 4-5-11; 4-6-11; 4-9-11,,,,,11.0,,11.0,08,京都,11.0,26.7,11.0,True
