race_id,category,value
202603010312,この距離が得意な馬,13ジーテ7ハルオ5ベルフ
202603010312,この競馬場が得意な馬,7ハルオ3デボラ13ジーテ
202603010312,今回の馬場状態が得意な馬,15ウィン5ベルフ13ジーテ
202603010312,今回のレース間隔で実績がある馬,11テンプ7ハルオ15ウィン
202603010312,今回の調教評価で実績がある馬,レース前日13時公開予定
202603010312,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202603010312,今回のオッズで期待できる騎手,発売開始後公開予定
202603010312,今回の調教師と相性の良い騎手,丹内祐次
202603010312,今回の馬主と相性の良い騎手,推奨なし
202603010312,race_info,16:00発走 /芝1200m(右 A)
202603010312,race_detail,"1回福島3日目サラ系４歳以上１勝クラス[指]定量16頭本賞金:820,330,210,120,82万円"
202606030701,このコースで有利な枠順,8枠6枠7枠
202606030701,このコースで有利な脚質,逃げ
202606030701,このコースが得意な騎手,Ｃ．ルメール
202606030701,このコースが得意な調教師,加藤士津八
202606030701,このコースに実績がある種牡馬,モズアスコット
202606030701,このコースに実績がある母父,Seeking th
202606030701,このコースが得意な馬,4アドミ2オーシ6セント
202606030701,この距離が得意な馬,4アドミ2オーシ6セント
202606030701,この競馬場が得意な馬,4アドミ2オーシ6セント
202606030701,今回の馬場状態が得意な馬,15クアロ4アドミ6セント
202606030701,今回のレース間隔で実績がある馬,15クアロ6セント
202606030701,今回の調教評価で実績がある馬,レース前日13時公開予定
202606030701,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202606030701,今回のオッズで期待できる騎手,発売開始後公開予定
202606030701,今回の調教師と相性の良い騎手,戸崎圭太
202606030701,今回の馬主と相性の良い騎手,推奨なし
202606030701,race_info,10:05発走 /ダ1200m(右)
202606030701,race_detail,"3回中山7日目サラ系３歳未勝利牝馬齢15頭本賞金:590,240,150,89,59万円"
202606030702,このコースで有利な枠順,8枠7枠4枠
202606030702,このコースで有利な脚質,先行
202606030702,このコースが得意な騎手,横山和生
202606030702,このコースが得意な調教師,加藤士津八
202606030702,このコースに実績がある種牡馬,ナダル
202606030702,このコースに実績がある母父,タートルボウル
202606030702,このコースが得意な馬,1ゴーフ6キセロ8ユイノ
202606030702,この距離が得意な馬,1ゴーフ11ロード6キセロ
202606030702,この競馬場が得意な馬,1ゴーフ6キセロ8ユイノ
202606030702,今回の馬場状態が得意な馬,1ゴーフ11ロード6キセロ
202606030702,今回のレース間隔で実績がある馬,推奨なし
202606030702,今回の調教評価で実績がある馬,レース前日13時公開予定
202606030702,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202606030702,今回のオッズで期待できる騎手,発売開始後公開予定
202606030702,今回の調教師と相性の良い騎手,原優介
202606030702,今回の馬主と相性の良い騎手,推奨なし
202606030702,race_info,10:35発走 /ダ1800m(右)
202606030702,race_detail,"3回中山7日目サラ系３歳未勝利馬齢11頭本賞金:590,240,150,89,59万円"
202606030703,このコースで有利な枠順,8枠6枠7枠
202606030703,このコースで有利な脚質,逃げ
202606030703,このコースが得意な騎手,Ｃ．ルメール
202606030703,このコースが得意な調教師,小栗実
202606030703,このコースに実績がある種牡馬,デクラレーションオブウォー
202606030703,このコースに実績がある母父,ディープスカイ
202606030703,このコースが得意な馬,11クリオ
202606030703,この距離が得意な馬,11クリオ9メリフ10ベアゴ
202606030703,この競馬場が得意な馬,11クリオ
202606030703,今回の馬場状態が得意な馬,11クリオ9メリフ10ベアゴ
202606030703,今回のレース間隔で実績がある馬,推奨なし
202606030703,今回の調教評価で実績がある馬,レース前日13時公開予定
202606030703,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202606030703,今回のオッズで期待できる騎手,発売開始後公開予定
202606030703,今回の調教師と相性の良い騎手,Ｍ．ディー
202606030703,今回の馬主と相性の良い騎手,推奨なし
202606030703,race_info,11:05発走 /ダ1200m(右)
202606030703,race_detail,"3回中山7日目サラ系３歳未勝利馬齢14頭本賞金:590,240,150,89,59万円"
202606030704,このコースで有利な枠順,8枠7枠4枠
202606030704,このコースで有利な脚質,先行
202606030704,このコースが得意な騎手,Ｃ．ルメール
202606030704,このコースが得意な調教師,田村康仁
202606030704,このコースに実績がある種牡馬,クリソベリル
202606030704,このコースに実績がある母父,マジェスティックウォ
202606030704,このコースが得意な馬,8マサッ10レイズ7ゴール
202606030704,この距離が得意な馬,8マサッ10レイズ7ゴール
202606030704,この競馬場が得意な馬,8マサッ10レイズ7ゴール
202606030704,今回の馬場状態が得意な馬,10レイズ3メディ
202606030704,今回のレース間隔で実績がある馬,7ゴール
202606030704,今回の調教評価で実績がある馬,レース前日13時公開予定
202606030704,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202606030704,今回のオッズで期待できる騎手,発売開始後公開予定
202606030704,今回の調教師と相性の良い騎手,Ｃ．ルメール
202606030704,今回の馬主と相性の良い騎手,推奨なし
202606030704,race_info,11:35発走 /ダ1800m(右)
202606030704,race_detail,"3回中山7日目サラ系３歳未勝利馬齢13頭本賞金:590,240,150,89,59万円"
202606030705,このコースで有利な枠順,4枠1枠3枠
202606030705,このコースで有利な脚質,逃げ
202606030705,このコースが得意な騎手,Ｃ．ルメール
202606030705,このコースが得意な調教師,田中博康
202606030705,このコースに実績がある種牡馬,サートゥルナーリア
202606030705,このコースに実績がある母父,City Zip
202606030705,このコースが得意な馬,推奨なし
202606030705,この距離が得意な馬,8ペルウ
202606030705,この競馬場が得意な馬,推奨なし
202606030705,今回の馬場状態が得意な馬,8ペルウ
202606030705,今回のレース間隔で実績がある馬,推奨なし
202606030705,今回の調教評価で実績がある馬,レース前日13時公開予定
202606030705,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202606030705,今回のオッズで期待できる騎手,発売開始後公開予定
202606030705,今回の調教師と相性の良い騎手,Ｃ．ルメール
202606030705,今回の馬主と相性の良い騎手,推奨なし
202606030705,race_info,12:25発走 /芝1600m(右 外 C)
202606030705,race_detail,"3回中山7日目サラ系３歳未勝利馬齢16頭本賞金:590,240,150,89,59万円"
202606030706,このコースで有利な枠順,7枠6枠4枠
202606030706,このコースで有利な脚質,逃げ
202606030706,このコースが得意な騎手,Ｃ．ルメール
202606030706,このコースが得意な調教師,中舘英二
202606030706,このコースに実績がある種牡馬,ディープブリランテ
202606030706,このコースに実績がある母父,ディープブリランテ
202606030706,このコースが得意な馬,推奨なし
202606030706,この距離が得意な馬,2ルージ5タッセ
202606030706,この競馬場が得意な馬,4トライ
202606030706,今回の馬場状態が得意な馬,5タッセ2ルージ3ターン
202606030706,今回のレース間隔で実績がある馬,推奨なし
202606030706,今回の調教評価で実績がある馬,レース前日13時公開予定
202606030706,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202606030706,今回のオッズで期待できる騎手,発売開始後公開予定
202606030706,今回の調教師と相性の良い騎手,Ｃ．ルメール
202606030706,今回の馬主と相性の良い騎手,推奨なし
202606030706,race_info,12:55発走 /芝1800m(右 C)
202606030706,race_detail,"3回中山7日目サラ系３歳１勝クラス牝馬齢6頭本賞金:820,330,210,120,82万円"
202606030707,このコースで有利な枠順,1枠2枠5枠
202606030707,このコースで有利な脚質,先行
202606030707,このコースが得意な騎手,戸崎圭太
