race_id,umaban,horse_name,finish_order,time_index,master_index,start_index,chase_index,agari_index
202501010407,2,ゴルデールスカー,8,69,69,96,98,72
202501010407,8,スマートブル,9,62,58,92,101,59
202501010407,9,アルマグラース,10,62,62,95,98,63
202501010407,7,メレカリキマカ,11,32,32,75,68,64
202501010407,11,ラマンシュ,12,20,20,100,105,20
202501010408,6,フェアリーライク,1,89,89,82,80,104
202501010408,3,サウンドサンライズ,2,89,89,96,96,97
202501010408,8,ルールーリマ,3,87,87,87,86,100
202501010408,7,ソニックドライブ,4,85,85,92,89,95
202501010408,1,エイシンオニキス,5,85,85,93,90,95
202501010408,11,エレガンシア,6,84,84,83,80,99
202501010408,4,イゾレエオリア,7,83,83,89,88,94
202501010408,2,ハーエクセレンシー,8,81,81,96,97,88
202501010408,10,フラッシングレート,9,80,74,88,84,90
202501010408,9,ミエノジュピター,10,80,80,86,84,92
202501010408,5,メイショウピリカ,11,76,76,79,79,92
202501010409,1,メイショウキルギス,1,95,88,104,96,84
202501010409,3,ジーベック,2,85,78,91,84,87
202501010409,2,クラリティスケール,3,80,77,86,80,91
202501010409,10,カンザシ,4,80,80,87,81,93
202501010409,4,モンシェリ,5,78,78,101,91,77
202501010409,8,ボルセーナ,6,76,70,103,94,67
202501010409,9,サザンカ,7,73,66,99,90,67
202501010409,6,ニルアドミラリ,8,63,63,96,83,67
202501010409,7,ディアサクセサー,9,61,57,99,94,58
202501010409,5,クーデール,10,54,48,96,75,52
202501010410,11,エヴァンスウィート,1,94,94,91,91,103
202501010410,5,ハートホイップ,2,94,94,95,94,100
202501010410,4,コーティアスマナー,3,94,94,98,97,97
202501010410,12,カリーシ,4,93,93,89,93,100
202501010410,10,メイケイバートン,5,91,91,99,100,91
202501010410,9,ヴァンヴィーヴ,6,90,90,94,94,96
202501010410,7,ラホーヤストーム,7,90,90,102,103,87
202501010410,8,ゴールドスター,8,90,90,89,89,101
202501010410,1,スムースベルベット,9,90,90,98,97,93
202501010410,2,ジャガード,10,88,88,88,85,103
202501010410,6,アイオブザストーム,11,87,87,82,83,103
202501010410,13,イグニション,12,81,81,86,87,94
202501010410,3,クリノハレルヤ,13,80,80,91,90,90
202501010411,10,アルジーヌ,1,105,107,95,105,100
202501010411,4,ココナッツブラウン,2,105,105,89,96,107
202501010411,2,フェアエールング,3,104,106,97,108,94
202501010411,11,ライラック,4,102,102,90,98,102
202501010411,1,パレハ,5,102,102,93,101,99
202501010411,9,ビヨンドザヴァレー,6,102,102,98,107,93
202501010411,8,シングザットソング,7,100,102,92,102,99
202501010411,12,アリスヴェリテ,8,95,95,104,112,82
202501010411,13,クリスマスパレード,9,96,100,89,100,100
202501010411,7,レーゼドラマ,10,95,97,94,103,91
202501010411,6,ドナベティ,11,93,93,82,92,99
202501010411,3,グランスラムアスク,12,92,92,91,99,92
202501010411,5,コンクシェル,13,90,90,107,113,76
202501010411,14,フィールシンパシー,14,88,88,102,109,77
202501010412,6,アルマデオロ,1,66,66,83,57,106
202501010412,7,マイファミリー,2,64,64,87,56,107
202501010412,5,カーミングライツ,3,61,61,84,56,102
202501010412,8,ボンドロア,4,61,61,88,58,101
202501010412,4,シャインバオバブ,5,60,60,84,54,105
202501010412,1,ラーシャローム,6,57,57,82,53,99
202501010412,3,ペリプルス,7,58,58,80,54,104
202501010501,4,ブライトフレア,1,72,72,86,79,97
202501010501,12,アニマレイ,2,71,71,96,89,86
202501010501,10,ストームサンダー,3,70,70,89,80,92
202501010501,6,スカイピア,4,67,61,100,91,78
202501010501,8,サザンテイオー,5,65,58,91,81,82
202501010501,2,ヨッシーリオ,6,65,65,98,90,83
202501010501,3,モズプリフォール,7,64,57,92,81,83
202501010501,11,ルーセントムーン,8,63,63,96,90,80
202501010501,5,マルモリラピダス,9,63,63,94,87,82
202501010501,7,コマチチャン,10,62,62,89,85,83
202501010501,1,ライトアズフェザー,11,61,61,102,96,73
202501010501,9,ケイベエ,12,60,60,99,92,75
202501010502,5,ミサビスケッツ,1,81,81,96,97,84
202501010502,14,ハローエンジェル,2,74,68,98,95,73
202501010502,2,キタノホウセキ,3,72,72,100,101,72
202501010502,9,アンタンシオン,4,70,70,93,89,82
202501010502,4,グランシャット,5,69,69,93,88,82
202501010502,10,ユウメモリー,6,68,66,100,99,67
