race_id,num_horses,umaren_count,umaren_min,umaren_max,umaren_median,umaren_p10
202005010204,16,120,14.7,9999.8,507.7,67.8
202005010205,16,120,20.3,9999.8,548.5,52.0
202005010206,16,120,24.7,3185.1,213.0,80.4
202005010207,16,120,17.8,2833.7,354.7,70.1
202005010208,16,120,35.5,9999.8,272.3,55.9
202005010209,13,78,12.9,5843.1,303.0,34.5
202005010210,13,78,19.6,2703.1,203.2,41.8
202005010211,16,120,12.8,9999.8,385.2,66.8
202005010212,10,45,10.4,1775.2,90.4,25.3
202008020201,12,66,9.6,1573.3,190.4,40.8
202008020202,13,78,10.1,3508.5,334.6,31.1
202008020203,9,36,14.6,308.9,80.8,18.8
202008020204,13,78,7.5,1881.0,313.2,39.6
202008020205,16,120,12.3,7909.3,481.2,74.1
202008020206,14,91,19.9,4168.1,251.3,39.7
202008020207,8,28,7.2,271.4,75.6,16.1
202008020208,16,120,12.0,6890.8,452.3,71.7
202008020209,9,36,8.1,754.5,86.6,20.9
202008020210,13,78,31.1,2175.7,158.1,38.8
202008020211,18,153,34.7,5550.0,359.0,72.7
202008020212,11,55,11.1,570.5,126.4,26.7
202010010601,16,120,12.2,8486.0,455.6,62.8
202010010602,14,91,14.8,1865.6,189.5,46.7
202010010603,18,153,30.0,5781.4,355.8,82.8
202010010604,18,153,15.3,9999.8,556.0,93.5
202010010605,16,120,18.0,3702.4,344.1,80.9
202010010606,10,45,12.4,815.8,103.2,18.9
202010010607,16,120,14.8,4390.0,334.9,75.1
202010010608,11,55,13.0,999.2,168.7,28.2
202010010609,8,28,6.0,631.3,95.6,13.7
202010010610,13,78,11.2,1789.9,202.7,31.0
202010010611,18,153,18.2,5244.1,452.1,93.9
202010010612,11,55,11.8,1057.7,145.9,26.0
202005010301,16,120,13.3,9999.8,426.8,82.0
202005010302,16,120,7.2,9999.8,693.3,93.1
202005010303,16,120,14.5,5219.6,399.7,64.4
202005010304,15,105,13.1,4202.1,291.1,58.9
202005010305,16,120,9.1,9999.8,519.8,74.9
202005010306,15,105,13.2,9999.9,437.5,53.3
202005010307,16,120,16.6,9999.8,363.0,73.1
