date,race_id,race_num,formation,n_bets,inv,pay,hit
20260426,202605020208,8,Box6_20,20,2000,1930.0,1
20260426,202605020208,8,2axis_4,4,700,3377.5,1
20260426,202605020209,9,V15_baseline_7,7,700,0.0,0
20260426,202605020209,9,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202605020209,9,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202605020209,9,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202605020209,9,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202605020209,9,Box5_10,10,1000,0.0,0
20260426,202605020209,9,Box6_20,20,2000,0.0,0
20260426,202605020209,9,2axis_4,4,700,0.0,0
20260426,202605020210,10,V15_baseline_7,7,700,2110.0,1
20260426,202605020210,10,V15+T1-T4-T5_8,8,800,2110.0,1
20260426,202605020210,10,V15+T14_T15_T16_10,10,1000,2110.0,1
20260426,202605020210,10,V15+T1-T4-T5+T1-T4-T6_9,9,900,2110.0,1
20260426,202605020210,10,V15+T2-T3-T4_8,8,800,2110.0,1
20260426,202605020210,10,Box5_10,10,1000,0.0,0
20260426,202605020210,10,Box6_20,20,2000,2110.0,1
20260426,202605020210,10,2axis_4,4,700,3692.5000000000005,1
20260426,202605020211,11,V15_baseline_7,7,700,0.0,0
20260426,202605020211,11,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202605020211,11,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202605020211,11,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202605020211,11,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202605020211,11,Box5_10,10,1000,0.0,0
20260426,202605020211,11,Box6_20,20,2000,0.0,0
20260426,202605020211,11,2axis_4,4,700,0.0,0
20260426,202605020212,12,V15_baseline_7,7,700,2920.0,1
20260426,202605020212,12,V15+T1-T4-T5_8,8,800,2920.0,1
20260426,202605020212,12,V15+T14_T15_T16_10,10,1000,2920.0,1
20260426,202605020212,12,V15+T1-T4-T5+T1-T4-T6_9,9,900,2920.0,1
20260426,202605020212,12,V15+T2-T3-T4_8,8,800,2920.0,1
20260426,202605020212,12,Box5_10,10,1000,2920.0,1
20260426,202605020212,12,Box6_20,20,2000,2920.0,1
20260426,202605020212,12,2axis_4,4,700,5110.0,1
20260426,202603010601,1,V15_baseline_7,7,700,0.0,0
20260426,202603010601,1,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202603010601,1,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010601,1,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010601,1,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010601,1,Box5_10,10,1000,0.0,0
20260426,202603010601,1,Box6_20,20,2000,0.0,0
20260426,202603010601,1,2axis_4,4,700,0.0,0
20260426,202603010602,2,V15_baseline_7,7,700,0.0,0
20260426,202603010602,2,V15+T1-T4-T5_8,8,800,0.0,0
