race_id,date,course,race_num,race_name,condition,top1_score,base_inv,base_pay,base_pnl,s7only_recommended,s7only_inv,s7only_pay,v2_recommended,v2_bet_size,v2_inv,v2_pay,v2_pnl,v2_ev_top1,v2_p_calibrated,v2_strategy_7_pass,v2_reason
202606030811,20260419.0,中山,11,皐月賞,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606030812,20260419.0,中山,12,サンシャインS,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020801,20260419.0,阪神,1,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020802,20260419.0,阪神,2,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020803,20260419.0,阪神,3,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020805,20260419.0,阪神,5,3歳未勝利,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020806,20260419.0,阪神,6,3歳1勝クラス,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020807,20260419.0,阪神,7,3歳1勝クラス,A,,700.0,2580.0,1880.0,True,700,2580.0,True,700,700,2580.0,1880.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020808,20260419.0,阪神,8,4歳以上1勝クラス,A,,700.0,1660.0,960.0,True,700,1660.0,True,700,700,1660.0,960.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020809,20260419.0,阪神,9,蓬莱峡特別,A,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202609020810,20260419.0,阪神,10,陽春S,D,,700.0,840.0,140.0,True,700,840.0,True,700,700,840.0,140.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202609020811,20260419.0,阪神,11,立雲峡S,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
