1020170310083010100000000001431  42B3                                                  4812   
1020170311041010000000100002438  47B3                                                  4711   
1020170312052000001000000011463  62B2                                                  6117   
10201703131000000000000000000    55B3                                                         
1020170314062000001000000002448  48B2                                                         
1020170315031010000000000002462  62B1                                                   011   
1020170401042000001000000001462  62B2                                                         
1020170402021010000000000002451  56B3                                                  5411   
1020170403092000001000000001460  60D2                                                         
1020170404083010100000000002464  48B3                                                  6412   
1020170405021010000000000002354  62B2                                                  5211   
1020170406082000001010000001458  51C3                                                  4504   
1020170407083010001000000001461  43C3                                                  2703   
1020170408081010000000000002464  53B3                                                         
1020170409051010000000000002358  50B2                                                  5911   
10201704101000000000000000000    38B3                                                         
1020170411082000101000000002219  46C4                                                  6902   
1020170412083010100000000002442  31B4                                                  4212   
1020170413062000001000000002437  44B3                                                         
1020170414081010000000000002455  50B4                                                  5311   
1020170415051010000000100002448  48B3                                                         
1020170416082000001000000001430  47B4                                                         
1020170417052010100000000011442  40B3                                                  2517   
1020170501062000001000000001453  53B2                                                         
1020170502083010100000000001448  49B3                                                  5512   
1020170503021010100000000001355  53A3                                                  4811   
1020170504062000001000000001448  48B3                                                         
1020170505071010000000000002438  42B3                                                  6111   
1020170506031010000000100002467  67B2                                                   311   
1020170507062000101000000012125  47B4                                                  3510   
1020170508051010000000000002446  46B3                                                  3811   
10201705091000000000000000000    36B3                                                         
1020170510023010100000000001155  66A3                                                  6612   
1020170601051010000000000002462  60B3                                                  5611   
1020170602021010000000000002459  59B2                                                  2411   
1020170603083010100000000001469  60B3                                                  7412   
1020170604051010000000000002455  51B3                                                  5411   
1020170605062000001000000001459  59B2                                                         
1020170606062000001000000001439  48B3                                                         
1020170607062000001000000001444  49B3                                                         
1020170608061010000000000002342  45B3                                                         
10201706091000000000000000000    65B3                                                         
1020170610042000001000000001469  69B2                                                         
1020170701031010000000000002436  50B4                                                         
1020170702021010000000000002467  65A3                                                  6411   
1020170703052000001000000002454  57B3                                                         
10201707041000000000000000000    44D3                                                         
1020170705081010000000000002455  48B3                                                         
1020170706022000100000000002156  56A3                                                         
1020170707071010000000000002446  42B3                                                  4911   
1020170708042000100000000001151  57B3                                                         
1020170709051010000000100002444  49B3                                                         
1020170710051010100000000001250  53B3                                                  6212   
1020170801051010000000000002358  58B2                                                  5811   
1020170802053010100000000001365  60B3                                                  6111   
10201708031000000000000000000    41B3                                                         
1020170804041010000000000002450  52A3                                                         
1020170805063010100000000002451  75B2                                                  7512   
1020170806051010000000000002462  62B2                                                         
1020170807062000001000000001454  54B3                                                         
1020170808062000001000000001434  43B3                                                         
10201708091000000000000000000    35B3                                                         
1020170810083010100000000001152  54B4                                                  5312   
1020170811083010100000000002345  46C3                                                  5412   
1020170812072000101000000001446  52B1                                                  5441   
1020170813062000001000000001238  46B3                                                         
1020170901031010000000000002466  71B2                                                  7111   
1020170902082000001000000001451  55B3                                                         
1020170903022000001000000001456  63B3                                                  5814   
1020170904052000001000000001144  56B4                                                         
1020170905052010100000000011366  65B2                                                  7317   
1020170906021010000000000002464  61A3                                                  5511   
1020170907071010000000000002454  52B3                                                  5611   
1020170908032000001000000002467  67B1                                                  1241   
1020170909082000001000000001370  70B2                                                         
1020170910062000001000000001449  58B3                                                         
1020170911021010000000000002462  62B2                                                  3711   
1020171001062000001000000002126  37B4                                                         
1020171002072000001000000001460  42C3                                                         
1020171003082000100000000001463  56B3                                                  5712   
1020171004061010000000000002460  60B2                                                         
1020171005062000001000000002452  52B2                                                         
1020171006083010100000000002464  60B3                                                  4812   
1020171007053010101000000001163  60C3                                                  6202   
1020171008031010100000000002457  56A3                                                  3611   
10201710091100000000000000000    45D3                                                         
1020171010061010000000000002353  53B3                                                  4101   
1020171011051010000000000002459  64B3                                                  5511   
10201710121000000000000000000    45B3                                                         
1020171013062000100000000011338  58C3                                                  5812   
10201710141100000000000000000    51D3                                                         
1020171015091010000000100002451  50B3                                                  5111   
1020171101062000001000000001461  61B2                                                         
1020171102033010000000000012443  45B3                                                  4417   
1020171103023010100000000002463  63A3                                                  4811   
1020171104053010100000000002459  63B3                                                  7312   
1020171105062000001000000001453  58B3                                                         
1020171106051010000010000002450  47B3                                                  4316   
1020171107051010000000000002457  57B2                                                         
1020171108053010100000000012465  60B3                                                  6112   
1020171109051010000000000002453  55B3                                                  5111   
1020171110071010000000000002441  46B3                                                         
1020171111081010000000000002462  58B4                                                  6911   
1020171112051010000000000002461  64B3                                                  5611   
1020171201062000001000000001431  54B4                                                         
1020171202062000001000000001450  57B3                                                         
10201712031000000000000000000    59B3                                                         
1020171204061010000000000002460  60B3                                                         
1020171205061010000000000002420  57B3                                                         
1020171206031010100000000002447  59B3                                                  5011   
1020171207062000001000000001462  62B3                                                         
1020171208081010000000000002259  61B4                                                  8411   
1020171209092000100000100002459  62C3                                                  7412   
1020171210062000100000000002335  35B3                                                         
1020171211062000001000000001451  51B2                                                         
1020171212062000001000000001459  59B2                                                         
1020171213031010000000000002359  61A3                                                         
1020171214052000001000000002143  47B3                                                         
1020171215061010000000000002448  55C3                                                         
1020171216062000001000000002116  40B4                                                         
1020171217052000001000000001471  71B2                                                  6641   
